Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Protected Method,org.junit.api.tools.AbstractApiReportWriter.getKind,4,,,,,,,4.0,12.0
Protected Method,org.junit.api.tools.AbstractApiReportWriter.paragraph,1,,,,,,,1.0,3.0
Public Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationInfo,3,,,,,,,1.0,5.0
Protected Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationSection,3,,,,,,,1.0,10.0
Protected Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationSectionHeader,2,,,,,,,1.0,10.0
Public Method,org.junit.api.tools.AbstractApiReportWriter.printReportHeader,1,,,,,,,1.0,7.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.code,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.h1,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.h2,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.italic,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.printDeclarationTableFooter,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.printDeclarationTableHeader,1,,,,,,,1.0,5.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.printDeclarationTableRow,2,,,,,,,1.0,12.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.code,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.h1,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.h2,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.italic,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.paragraph,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.printDeclarationTableFooter,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.printDeclarationTableHeader,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.HtmlApiReportWriter.printDeclarationTableRow,1,,,,,,,1.0,7.0
Protected Method,org.junit.api.tools.MarkdownApiReportWriter.code,1,,,,,,,1.0,3.0
Private Method,org.junit.api.tools.MarkdownApiReportWriter.dashes,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.MarkdownApiReportWriter.h1,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.MarkdownApiReportWriter.h2,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.MarkdownApiReportWriter.italic,1,,,,,,,1.0,3.0
Protected Method,org.junit.api.tools.MarkdownApiReportWriter.printDeclarationTableFooter,1,,,,,,,1.0,2.0
Protected Method,org.junit.api.tools.MarkdownApiReportWriter.printDeclarationTableHeader,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.MarkdownApiReportWriter.printDeclarationTableRow,1,,,,,,,1.0,7.0
Private Method,org.junit.jupiter.api.AssertAllAssertionsTests.assertPrecondition,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.AssertEqualsAssertionsTests.EqualsThrowsException.equals,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.AssertEqualsAssertionsTests.ToStringThrowsException.toString,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.AssertInstanceOfAssertionsTests.assertInstanceOfFails,5,,,,,,,1.0,10.0
Private Method,org.junit.jupiter.api.AssertInstanceOfAssertionsTests.assertThrowsWithMessage,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.AssertIterableEquals.Pair.equals,3,,,,,,,3.0,9.0
Public Method,org.junit.jupiter.api.AssertIterableEquals.Pair.hashCode,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.AssertIterableEquals.Status.valueOf,1,,,,,,,1.0,0.0
Public Method,org.junit.jupiter.api.AssertIterableEquals.Status.values,1,,,,,,,1.0,0.0
